state,product,complaints
VA,"Payday loan, title loan, personal loan, or advance loan",12
WI,Mortgage,12
AL,Student loan,11
AZ,"Payday loan, title loan, personal loan, or advance loan",11
CO,"Payday loan, title loan, personal loan, or advance loan",11
GA,Debt or credit management,11
HI,Checking or savings account,11
IA,Checking or savings account,11
MO,Prepaid card,11
MS,Vehicle loan or lease,11
NM,"Money transfer, virtual currency, or money service",11
NV,Vehicle loan or lease,11
OK,Mortgage,11
DC,"Money transfer, virtual currency, or money service",10
LA,Student loan,10
MD,"Payday loan, title loan, personal loan, or advance loan",10
MI,Prepaid card,10
MS,Student loan,10
PA,Prepaid card,10
AR,Vehicle loan or lease,9
DE,Mortgage,9
ID,Checking or savings account,9
MA,"Payday loan, title loan, personal loan, or advance loan",9
NC,Debt or credit management,9
NV,Student loan,9
UT,Mortgage,9
WI,"Payday loan, title loan, personal loan, or advance loan",9
AK,Checking or savings account,8
AP,Credit reporting or other personal consumer reports,8
AR,"Payday loan, title loan, personal loan, or advance loan",8
CO,Vehicle loan or lease,8
HI,Mortgage,8
IA,Student loan,8
ME,Credit card,8
ME,Student loan,8
MO,"Payday loan, title loan, personal loan, or advance loan",8
NE,"Money transfer, virtual currency, or money service",8
NH,Checking or savings account,8
PR,Credit card,8
PR,Debt collection,8
SD,Debt collection,8
VT,Credit card,8
WI,Vehicle loan or lease,8
AS,Credit reporting or other personal consumer reports,7
DE,Vehicle loan or lease,7
IN,Debt or credit management,7
ME,Debt collection,7
MT,Credit card,7
OH,Prepaid card,7
RI,"Money transfer, virtual currency, or money service",7
UT,"Payday loan, title loan, personal loan, or advance loan",7
UT,Vehicle loan or lease,7
VA,Prepaid card,7
WA,"Payday loan, title loan, personal loan, or advance loan",7
WA,Prepaid card,7
WA,Vehicle loan or lease,7
WY,Checking or savings account,7
WY,"Money transfer, virtual currency, or money service",7
HI,Credit card,6
IL,Debt or credit management,6
KS,Student loan,6
NH,"Money transfer, virtual currency, or money service",6
NJ,Debt or credit management,6
NV,Debt or credit management,6
NY,Debt or credit management,6
OR,"Payday loan, title loan, personal loan, or advance loan",6
RI,Checking or savings account,6
UT,"Money transfer, virtual currency, or money service",6
WI,Debt or credit management,6
WV,Vehicle loan or lease,6
AK,Mortgage,5
AR,Mortgage,5
DC,Mortgage,5
DC,Student loan,5
DE,"Money transfer, virtual currency, or money service",5
IA,"Payday loan, title loan, personal loan, or advance loan",5
IA,Vehicle loan or lease,5
ID,"Money transfer, virtual currency, or money service",5
KS,Mortgage,5
KY,"Payday loan, title loan, personal loan, or advance loan",5
LA,Prepaid card,5
MA,Debt or credit management,5
